30,120
30,80
30,120
30,80
50,100
50,100
10,100
10,100
31,120
31,80
29,120
29,80
50,101
50,99
10,101
10,99
32,120
32,80
28,120
28,80
50,102
50,98
10,102
10,98
33,120
33,80
27,120
27,80
50,103
50,97
10,103
10,97
34,120
34,80
26,120
26,80
50,104
50,96
10,104
10,96
35,119
35,81
25,119
25,81
49,105
49,95
11,105
11,95
36,119
36,81
24,119
24,81
49,106
49,94
11,106
11,94
37,119
37,81
23,119
23,81
49,107
49,93
11,107
11,93
38,118
38,82
22,118
22,82
48,108
48,92
12,108
12,92
39,118
39,82
21,118
21,82
48,109
48,91
12,109
12,91
40,117
40,83
20,117
20,83
47,110
47,90
13,110
13,90
41,117
41,83
19,117
19,83
47,111
47,89
13,111
13,89
42,116
42,84
18,116
18,84
46,112
46,88
14,112
14,88
43,115
43,85
17,115
17,85
45,113
45,87
15,113
15,87
44,114
44,86
16,114
16,86
44,114
44,86
16,114
16,86
24,108
24,102
24,108
24,102
27,105
27,105
21,105
21,105
25,108
25,102
23,108
23,102
27,106
27,104
21,106
21,104
26,107
26,103
22,107
22,103
26,107
26,103
22,107
22,103
36,108
36,102
36,108
36,102
39,105
39,105
33,105
33,105
37,108
37,102
35,108
35,102
39,106
39,104
33,106
33,104
38,107
38,103
34,107
34,103
38,107
38,103
34,107
34,103
